12317340	2001654	58684685
11642562	347767	58685624
12317813	11392720	58685993
7149485	6520041	58686175
7149485	8431111	58686175
12307683	2001654	58683669
9116544	3109549	47881339
9116544	7114428	47881339
9116544	8600836	47881339
9116544	10275600	47881339
12139163	6101336	58685974
12139163	8302635	58685974
12139163	858675	58685974
12139163	10430394	58685974
12317855	8302635	58686115
11063912	7348030	58683725
11063912	6789321	58683725
12317667	8686430	58685566
12317667	6423998	58685566
12317878	4092588	58686081
12178196	858675	58685551
12178196	12178196	58685551
10728	10640534	58676687
10728	355230	58676687
11852936	9177877	58685642
11852936	10189214	58685642
1209451	3051961	32290096
1209451	5075502	32290096
1209451	5272880	32290096
1209451	12317938	32290096
8371133	12288368	58684191
9455354	1551688	49149241
9455354	3638250	49149241
15055	33006	280243
15055	4960	280243
15055	11527	280243
15055	9493	280243
15055	11527	280243
15055	4279	280243
15055	130427	280243
15055	user201788280243	280243
15055	Y Lan280243	280243
15055	176611	280243
15055	2617240	280243
15055	407226	280243
15055	962910	280243
15055	1244663	280243
15055	1084684	280243
15055	1827883	280243
15055	4199342	280243
15055	4201899	280243
15055	1261030	280243
15055	1410185	280243
15055	3875597	280243
15055	587088	280243
15055	5064004	280243
15055	2452792	280243
15055	8441618	280243
15055	8779792	280243
15055	6553328	280243
15055	9652688	280243
7978569	7851272	58686028
11423609	12317852	58680923
12313374	225020	58674433
12313374	4045964	58674433
4676379	3940406	29079253
4676379	5771269	29079253
10309712	10852841	58685853
6636745	49529	58685917
12134768	8303325	58348690
11595321	858675	58685645
12109095	3706723	58685689
12109095	6101336	58685689
640694	1572562	16344756
640694	1401034	16344756
640694	2253687	16344756
640694	451710	16344756
640694	470184	16344756
640694	6813490	16344756
12317720	9341242	58685805
12317720	10987432	58685805
12317720	858675	58685805
8186068	10430394	58685759
8481155	8481155	58652274
8534816	5363824	57981975
8534816	5136580	57981975
1944468	9341242	58684933
1944468	6423998	58684933
1474043	3224008	33388555
1474043	1161429	33388555
1474043	1928792	33388555
1474043	1292855	33388555
1474043	3043524	33388555
1474043	4733584	33388555
1474043	10965163	33388555
1474043	3904501	33388555
38140	7883	390250
38140	28835	390250
38140	3594	390250
38140	22893	390250
38140	33786	390250
38140	75033	390250
38140	78234	390250
38140	Aaron Hall390250	390250
38140	1804173	390250
38140	733092	390250
2880366	8222873	58684815
2880366	901925	58684815
2880366	7207392	58684815
10492052	11939660	55779099
3174619	908494	21004221
3174619	2071317	21004221
7065314	10971439	58684924
8414388	7381252	58685633
11815537	8300135	58685447
8767800	7207392	58666001
8767800	4045774	58666001
12315833	2663156	58680491
12315833	6664872	58680491
11416822	2401769	58685506
1931666	724357	15093952
NSchrading	454638	3878555
NSchrading	459338	3878555
NSchrading	147019	3878555
NSchrading	392132	3878555
NSchrading	131527	3878555
NSchrading	84270	3878555
NSchrading	6899	3878555
NSchrading	3011683	3878555
NSchrading	Brian from Chicago3878555	3878555
NSchrading	724176	3878555
12027225	10526677	58684166
12027225	3799759	58684166
12317339	1428102	58684686
12317339	10569027	58684686
7589661	8268531	45137395
7589661	216074	45137395
7589661	5585424	45137395
7589661	681484	45137395
7589661	2654459	45137395
7589661	30038	45137395
7589661	12317361	45137395
11506172	11928099	58376139
11506172	12317444	58376139
5398820	341510	33281839
5398820	7378293	33281839
2899125	9177877	58685335
11239328	10189214	58685307
11239328	7207392	58685307
7586785	12202977	58683386
5556018	6256836	36869394
5556018	3147629	36869394
5556018	740987	36869394
5556018	741539	36869394
12309149	10676716	58685518
48087	48087	384076
48087	99834	384076
48087	240142	384076
48087	174541	384076
48087	62398	384076
48087	3233	384076
48087	3233	384076
48087	ABC384076	384076
48087	2215679	384076
48087	788200	384076
48087	315168	384076
48087	122400	384076
48087	1974655	384076
48087	4285493	384076
